#,Name,Team,Year,Pos,App,GS,W,L,SV,CG,BF,IP,IP/G,BIP,H,H/9,R,ER,BB,BB/9,BB%,K,K/9,K%,K/BB,HR,HBP,LOB %,ERA,ERA-,FIP,FIP-,E-F,WHIP
38,"Lawson
 Cole",LAF,Fr,P,6,0,2,1,0,0,52,10.33,0.18,38,18,15.68,10,8,3,2.61,5.77,8,6.97,15.38,2.67,2,1,62.50,6.97,112.49,6.70,108.12,0.27,2.03
39,"Cayden
 Gothrup",LAF,Fr,P,11,4,1,0,0,0,119,25.33,0.45,79,28,9.95,17,15,16,5.68,13.45,22,7.82,18.49,1.38,1,1,64.22,5.33,86.02,5.36,86.51,-0.03,1.74
40,"Tyler
 Papenbrock",LAF,So,P,11,5,1,3,0,0,151,31.33,0.56,84,37,10.63,29,26,17,4.88,11.26,41,11.78,27.15,2.41,4,5,56.18,7.47,120.56,5.72,92.30,1.75,1.72
42,"Brody
 Fine",LAF,Fr,P,6,4,0,2,0,0,63,13.00,0.22,37,16,11.08,9,8,9,6.23,14.29,15,10.38,23.81,1.67,1,1,69.11,5.54,89.41,5.57,89.90,-0.03,1.92
59,"Charles
 Lefebvre",LAF,Jr,P,10,0,3,0,0,0,75,17.00,0.29,44,15,7.94,16,15,13,6.88,17.33,14,7.41,18.67,1.08,2,2,51.47,7.94,128.14,7.10,114.56,0.84,1.65
81,"Caden
 Leonard",LAF,So,P,1,0,0,1,0,0,8,1.33,0.02,6,3,20.30,3,1,1,6.77,12.50,1,6.75,12.50,1.00,0,0,25.00,6.75,108.94,5.33,85.90,1.42,3.01
83,"Joey
 Humphrey",LAF,Jr,OF,1,0,0,0,0,0,6,1.00,0.02,5,3,27.00,2,2,0,0.00,0.00,1,9.00,16.67,#NUM!,0,0,33.33,18.00,290.50,2.57,41.52,15.43,3.00
88,"Joe
 Olsavsky",LAF,Jr,IF,1,0,0,0,0,0,3,1.00,0.02,2,0,0.00,0,0,0,0.00,0.00,1,9.00,33.33,#NUM!,0,0,#DIV/0!,0.00,0.00,2.57,41.52,-2.57,0.00
95,"Caden
 Tarango",LAF,Fr,P,3,3,0,0,0,0,40,7.67,0.13,19,7,8.21,8,8,10,11.73,25.00,9,10.57,22.50,0.90,1,1,60.24,9.39,151.54,8.23,132.65,1.16,2.22
98,"Jackson
 Burk",LAF,Fr,P,10,1,0,1,0,0,61,11.00,0.19,40,19,15.55,13,9,8,6.55,13.11,11,9.00,18.03,1.38,1,1,56.39,7.36,118.78,6.21,100.16,1.15,2.45
3,"Easton
 Harris",NOR,Fr,IF,3,1,1,0,0,0,34,5.33,0.09,24,15,25.33,10,8,2,3.38,5.88,5,8.44,14.71,2.50,2,1,52.63,13.50,215.26,9.27,147.62,4.23,3.19
6,"Case
 Sanderson",NOR,Fr,IF,3,0,0,1,0,0,33,5.00,0.09,23,13,23.40,11,7,5,9.00,15.15,5,9.00,15.15,1.00,0,0,38.89,12.60,200.91,5.57,88.82,7.03,3.60
8,"Joey
 Hagen",NOR,Fr,OF,1,0,0,0,1,0,2,0.67,0.01,1,0,0.00,0,0,0,0.00,0.00,1,13.50,50.00,#NUM!,0,0,#DIV/0!,0.00,0.00,1.59,25.33,-1.59,0.00
12,"Caleb
 Jacobs",NOR,Sr,P,1,0,0,0,0,0,12,3.33,0.06,8,2,5.41,2,2,1,2.70,8.33,2,5.40,16.67,2.00,1,0,62.50,5.40,86.10,8.18,130.30,-2.78,0.90
18,"Ryne
 Willard",NOR,Fr,P,23,1,5,5,2,0,164,31.33,0.54,96,32,9.19,26,22,30,8.62,18.29,30,8.62,18.29,1.00,4,4,66.23,6.32,100.77,7.58,120.69,-1.26,1.98
20,"Bode
 Gebbink",NOR,Jr,P,7,6,1,2,0,0,153,32.33,0.56,102,32,8.91,24,19,22,6.12,14.38,19,5.29,12.42,0.86,4,6,66.18,5.29,84.35,7.61,121.18,-2.32,1.67
26,"Tyler
 Woltman",NOR,So,C,4,0,1,0,0,0,44,10.00,0.17,22,6,5.40,2,1,6,5.40,13.64,14,12.60,31.82,2.33,0,2,85.71,0.90,14.35,4.17,66.51,-3.27,1.20
