Name_With_Blanks,Name,#,Team,Conference,Division,Year,Pos,G,PA,PA/G,Qualified,AB,R,R/PA,H,1B,2B,3B,HR,RBI,BB,BB%,K,K%,TTO,TTO%,SB,CS,SB%,AVG,BABIP,OBP,SLG,OPS,OPS+,Adj. OPS+,ISO,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,RC,wOBA,wRAA,wRAA/PA,wRC,wRC+
"J.D.
                                                                        Bogart","J.D.
 Bogart",28,NOR,Eastern,Wabash River,So,C,12,36,0.63,No,30,5,0.14,7,3,1,0,3,11,5,13.89%,11,30.56%,19,52.78%,1,0,100.00%,0.233,0.250,0.343,0.567,0.910,125.71,124.10,0.334,0,0,1,17,4,0,9,3,3.00,6.45,0.391,0.93,0.03,7.03,114.03
"Jackson
                                                                        Blemler","Jackson
 Blemler",7,NOR,Eastern,Wabash River,So,IF,41,178,3.12,Yes,137,38,0.21,28,20,6,2,0,19,34,19.10%,48,26.97%,82,46.07%,5,0,100.00%,0.204,0.311,0.375,0.277,0.652,62.72,61.92,0.073,4,1,2,38,8,1,31,31,1.00,19.00,0.313,-7.55,-0.04,22.61,73.66
"Jackson
                                                                        Chatterton","Jackson
 Chatterton",4,NOR,Eastern,Wabash River,Jr,IF,11,54,0.95,No,39,7,0.13,8,6,1,0,1,13,14,25.93%,9,16.67%,24,44.44%,3,0,100.00%,0.205,0.241,0.426,0.308,0.734,83.22,82.15,0.103,1,0,0,12,2,0,10,11,0.91,7.44,0.354,-0.36,-0.01,8.78,94.72
"James
                                                                        Harris","James
 Harris",24,NOR,Eastern,Wabash River,So,IF,24,99,1.74,No,74,20,0.20,17,15,2,0,0,7,21,21.21%,20,20.20%,41,41.41%,8,0,100.00%,0.230,0.315,0.412,0.257,0.669,67.18,66.31,0.027,2,0,2,19,2,3,23,11,2.09,11.28,0.328,-2.86,-0.03,13.91,81.64
"Joey
                                                                        Hagen","Joey
 Hagen",8,NOR,Eastern,Wabash River,Fr,OF,6,21,0.37,No,18,3,0.14,4,4,0,0,0,2,3,14.29%,6,28.57%,9,42.86%,1,1,50.00%,0.222,0.333,0.333,0.222,0.555,38.62,38.12,0.000,0,0,0,4,0,1,5,2,2.50,1.26,0.268,-1.70,-0.08,1.86,50.87
"Kannon
                                                                        Kleine","Kannon
 Kleine",86,NOR,Eastern,Wabash River,Fr,C,4,9,0.16,No,8,1,0.11,3,3,0,0,0,2,0,0.00%,2,22.22%,2,22.22%,0,0,0.00%,0.375,0.500,0.444,0.375,0.819,104.19,102.85,0.000,1,0,0,3,0,0,1,2,0.50,1.45,0.377,0.12,0.01,1.65,106.60
"Max
                                                                        Jones","Max
 Jones",73,NOR,Eastern,Wabash River,Jr,IF,6,25,0.44,No,20,4,0.16,6,4,2,0,0,1,2,8.00%,4,16.00%,6,24.00%,2,1,66.67%,0.300,0.375,0.417,0.400,0.817,103.49,102.16,0.100,2,0,1,8,2,1,6,5,1.20,3.39,0.372,0.23,0.01,4.46,104.03
"Payton
                                                                        Mansfield","Payton
 Mansfield",84,NOR,Eastern,Wabash River,So,OF,23,69,1.21,No,64,8,0.12,15,9,6,0,0,8,4,5.80%,21,30.43%,25,36.23%,3,0,100.00%,0.234,0.349,0.290,0.328,0.618,53.73,53.04,0.094,1,0,0,21,6,1,7,19,0.37,6.57,0.277,-5.06,-0.07,6.63,55.42
"Peter
                                                                        Johnson","Peter
 Johnson",15,NOR,Eastern,Wabash River,Fr,OF,15,48,0.84,No,40,11,0.23,12,9,2,0,1,8,7,14.58%,12,25.00%,20,41.67%,4,0,100.00%,0.300,0.393,0.396,0.425,0.821,104.31,102.97,0.125,0,1,0,17,3,1,5,10,0.50,8.03,0.364,0.12,0.00,8.25,100.18
"Peyton
                                                                        Dillingham","Peyton
 Dillingham",10,NOR,Eastern,Wabash River,Sr,OF,26,103,1.81,No,89,20,0.19,22,10,8,0,4,26,11,10.68%,13,12.62%,28,27.18%,4,4,50.00%,0.247,0.243,0.330,0.472,0.802,99.14,97.87,0.225,1,2,0,42,12,3,28,24,1.17,12.65,0.347,-1.25,-0.01,16.20,91.51
