Name_With_Blanks,Name,#,Team,Conference,Division,Year,Pos,G,PA,PA/G,Qualified,AB,R,R/PA,H,1B,2B,3B,HR,RBI,BB,BB%,K,K%,TTO,TTO%,SB,CS,SB%,AVG,BABIP,OBP,SLG,OPS,OPS+,Adj. OPS+,ISO,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,RC,wOBA,wRAA,wRAA/PA,wRC,wRC+
"Mike
                                                                        O'Conor","Mike
 O'Conor",99,OFL,Western,Prairie Land,Fr,IF,16,51,0.88,No,46,5,0.10,10,9,0,0,1,9,3,5.88%,13,25.49%,17,33.33%,0,1,0.00%,0.217,0.281,0.294,0.283,0.577,43.71,42.15,0.066,2,0,0,13,1,1,4,18,0.22,3.65,0.267,-4.18,-0.08,4.46,47.94
"Nick
                                                                        Harms","Nick
 Harms",12,OFL,Western,Prairie Land,So,OF,41,161,2.78,Yes,130,34,0.21,41,23,9,0,9,35,25,15.53%,42,26.09%,76,47.20%,6,1,85.71%,0.315,0.405,0.447,0.592,1.039,158.14,152.49,0.277,6,0,0,77,18,1,17,30,0.57,38.34,0.450,12.35,0.08,39.63,141.58
"Rhett
                                                                        Hendricks","Rhett
 Hendricks",89,OFL,Western,Prairie Land,Fr,OF,3,14,0.24,No,12,1,0.07,2,1,1,0,0,1,2,14.29%,5,35.71%,7,50.00%,0,0,0.00%,0.167,0.286,0.286,0.250,0.536,33.60,32.40,0.083,0,0,0,3,1,0,3,1,3.00,1.01,0.253,-1.32,-0.09,1.05,40.65
"Tucker
                                                                        Platt","Tucker
 Platt",36,OFL,Western,Prairie Land,So,IF,38,138,2.38,No,111,20,0.14,31,18,10,1,2,12,14,10.14%,27,19.57%,43,31.16%,5,1,83.33%,0.279,0.349,0.413,0.441,0.854,112.53,108.51,0.162,12,1,0,49,13,2,23,24,0.96,23.04,0.383,2.59,0.02,25.98,107.39
"Tyler
                                                                        Ferguson","Tyler
 Ferguson",44,OFL,Western,Prairie Land,Sr,OF,18,79,1.36,No,63,14,0.18,18,13,3,0,2,14,7,8.86%,15,18.99%,24,30.38%,4,0,100.00%,0.286,0.333,0.397,0.429,0.826,105.54,101.78,0.143,6,2,1,27,5,1,13,17,0.76,12.92,0.368,0.48,0.01,13.87,99.92
"Tyson
                                                                        Ludwig","Tyson
 Ludwig",2,OFL,Western,Prairie Land,Jr,IF,41,183,3.16,Yes,149,46,0.25,34,22,9,1,2,22,27,14.75%,35,19.13%,64,34.97%,21,3,87.50%,0.228,0.281,0.361,0.342,0.703,75.11,72.43,0.114,5,2,0,51,12,3,32,35,0.91,23.37,0.323,-6.13,-0.03,24.87,76.52
"Zach
                                                                        Beatty","Zach
 Beatty",33,OFL,Western,Prairie Land,So,OF,31,117,2.02,No,102,20,0.17,23,16,5,0,2,17,12,10.26%,26,22.22%,40,34.19%,8,2,80.00%,0.225,0.284,0.325,0.333,0.658,63.80,61.53,0.108,3,0,0,34,7,0,18,25,0.72,12.94,0.301,-6.12,-0.05,13.70,65.42
"Andrew
                                                                        Fay","Andrew
 Fay",1,QUI,Western,Great River,Sr,IF,9,8,0.14,No,8,2,0.25,4,3,1,0,0,2,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0.500,0.500,0.500,0.625,1.125,179.63,149.44,0.125,0,0,0,5,1,0,3,0,0.00,2.50,0.493,0.91,0.11,2.27,147.15
"Cam
                                                                        Suto","Cam
 Suto",99,QUI,Western,Great River,So,IF,24,97,1.70,No,85,15,0.15,26,18,5,1,2,16,7,7.22%,11,11.34%,20,20.62%,14,5,73.68%,0.306,0.329,0.381,0.459,0.840,108.85,90.56,0.153,4,1,0,39,8,2,21,22,0.95,15.36,0.370,0.74,0.01,17.18,84.33
"Charles
                                                                        Schebler","Charles
 Schebler",31,QUI,Western,Great River,Fr,IF,9,36,0.63,No,33,8,0.22,6,5,0,0,1,6,3,8.33%,11,30.56%,15,41.67%,0,0,0.00%,0.182,0.238,0.250,0.273,0.523,30.13,25.07,0.091,0,0,0,9,1,1,9,4,2.25,2.17,0.239,-3.81,-0.11,2.29,17.27
"Chase
                                                                        Chappell","Chase
 Chappell",99,QUI,Western,Great River,So,IF,1,4,0.07,No,4,2,0.50,3,3,0,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0.750,0.750,0.750,0.750,1.500,273.48,227.52,0.000,0,0,0,3,0,0,0,1,0.00,2.25,0.668,1.07,0.27,1.74,236.96
"Cross
                                                                        Jumper","Cross
 Jumper",99,QUI,Western,Great River,Fr,OF,13,54,0.95,No,37,12,0.22,10,7,2,1,0,3,11,20.37%,16,29.63%,27,50.00%,6,0,100.00%,0.270,0.455,0.481,0.378,0.859,114.28,95.08,0.108,5,1,0,14,3,0,4,7,0.57,10.50,0.400,1.80,0.03,10.95,99.48
"Easton
                                                                        Mains","Easton
 Mains",5,QUI,Western,Great River,Fr,OF,33,131,2.30,No,113,23,0.18,24,17,3,3,1,19,13,9.92%,31,23.66%,45,34.35%,6,0,100.00%,0.212,0.284,0.315,0.319,0.634,57.84,48.12,0.107,4,0,1,36,7,1,28,21,1.33,13.45,0.290,-8.08,-0.06,14.12,43.41
"Harrison
                                                                        Blueweiss","Harrison
 Blueweiss",99,QUI,Western,Great River,Fr,OF,13,52,0.91,No,42,11,0.21,7,6,1,0,0,4,7,13.46%,7,13.46%,14,26.92%,3,0,100.00%,0.167,0.194,0.308,0.190,0.498,24.45,20.35,0.023,2,1,0,8,1,0,19,8,2.38,3.82,0.248,-5.14,-0.10,3.67,21.50
"Harry
                                                                        Fandre","Harry
 Fandre",33,QUI,Western,Great River,Fr,IF,24,97,1.70,No,79,13,0.13,18,14,2,0,2,23,14,14.43%,18,18.56%,34,35.05%,0,1,0.00%,0.228,0.267,0.361,0.329,0.690,71.93,59.84,0.101,3,1,0,26,4,2,23,17,1.35,10.21,0.320,-3.50,-0.04,12.94,58.51
"Harry
                                                                        Oden","Harry
 Oden",23,QUI,Western,Great River,Fr,OF,34,132,2.32,No,115,21,0.16,33,28,1,0,4,22,11,8.33%,23,17.42%,38,28.79%,0,0,0.00%,0.287,0.330,0.379,0.400,0.779,93.88,78.10,0.113,6,0,0,46,5,3,31,24,1.29,17.95,0.352,-1.03,-0.01,21.33,75.18
"Jack
                                                                        Zebig","Jack
 Zebig",11,QUI,Western,Great River,Fr,IF,49,228,4.00,Yes,185,32,0.14,48,38,5,1,4,35,34,14.91%,34,14.91%,72,31.58%,7,2,77.78%,0.259,0.289,0.377,0.362,0.739,84.06,69.93,0.103,4,5,0,67,10,1,45,59,0.76,30.26,0.336,-5.08,-0.02,33.55,66.65
"Jaison
                                                                        Andujar","Jaison
 Andujar",27,QUI,Western,Great River,Fr,OF,19,82,1.44,No,63,16,0.20,19,9,7,1,2,16,16,19.51%,18,21.95%,36,43.90%,3,0,100.00%,0.302,0.386,0.451,0.540,0.991,146.40,121.80,0.238,2,1,0,34,10,0,11,14,0.79,18.39,0.429,4.85,0.06,18.74,114.69
"Jimmy
                                                                        Koza","Jimmy
 Koza",4,QUI,Western,Great River,Fr,IF,45,209,3.67,Yes,164,48,0.23,47,35,10,0,2,23,36,17.22%,39,18.66%,77,36.84%,21,2,91.30%,0.287,0.363,0.433,0.384,0.817,103.61,86.20,0.097,7,1,1,63,12,4,41,34,1.21,34.62,0.375,2.43,0.01,37.84,86.67
"Joe
                                                                        Huffman","Joe
 Huffman",99,QUI,Western,Great River,So,IF,9,37,0.65,No,28,5,0.14,5,1,2,1,1,2,7,18.92%,10,27.03%,18,48.65%,1,0,100.00%,0.179,0.235,0.378,0.429,0.807,100.74,83.81,0.250,2,0,0,12,4,0,4,9,0.44,5.62,0.363,0.05,0.00,6.31,80.53
"Joe
                                                                        Siervo","Joe
 Siervo",8,QUI,Western,Great River,Fr,OF,43,199,3.49,Yes,169,46,0.23,51,36,11,1,3,24,24,12.06%,37,18.59%,64,32.16%,15,2,88.24%,0.302,0.364,0.392,0.432,0.824,105.01,87.36,0.130,3,3,0,73,15,3,30,45,0.67,32.79,0.365,0.66,0.00,34.37,81.75
"Jordan
                                                                        Scott","Jordan
 Scott",18,QUI,Western,Great River,So,IF,16,68,1.19,No,57,9,0.13,15,14,1,0,0,6,8,11.76%,17,25.00%,25,36.76%,1,0,100.00%,0.263,0.366,0.368,0.281,0.649,61.93,51.52,0.018,2,1,0,16,1,2,14,11,1.27,6.64,0.304,-3.37,-0.05,8.15,50.54
"Kyle
                                                                        Hvidsten","Kyle
 Hvidsten",17,QUI,Western,Great River,Fr,C,34,157,2.75,Yes,124,37,0.24,43,28,10,1,4,29,23,14.65%,26,16.56%,53,33.76%,1,0,100.00%,0.347,0.402,0.465,0.540,1.005,149.94,124.74,0.193,7,3,0,67,15,1,28,24,1.17,35.26,0.437,10.29,0.07,36.89,118.47
"Logan
                                                                        Voth","Logan
 Voth",99,QUI,Western,Great River,So,IF,15,64,1.12,No,56,5,0.08,10,7,1,2,0,10,8,12.50%,16,25.00%,24,37.50%,2,1,66.67%,0.179,0.250,0.281,0.268,0.549,36.75,30.57,0.089,0,0,0,15,3,0,14,12,1.17,4.81,0.254,-5.97,-0.09,4.88,24.77
"Lucas
                                                                        Loos","Lucas
 Loos",16,QUI,Western,Great River,Jr,IF,45,201,3.53,Yes,155,40,0.20,46,18,15,0,13,62,33,16.42%,35,17.41%,81,40.30%,4,1,80.00%,0.297,0.306,0.453,0.645,1.098,172.64,143.63,0.348,12,1,0,100,28,4,24,46,0.52,48.90,0.467,18.40,0.09,52.46,133.84
"Luke
                                                                        Jessen","Luke
 Jessen",19,QUI,Western,Great River,So,OF,29,111,1.95,No,90,18,0.16,20,12,3,1,4,16,14,12.61%,27,24.32%,45,40.54%,3,1,75.00%,0.222,0.271,0.364,0.411,0.775,92.78,77.19,0.189,6,0,1,37,8,2,27,13,2.08,14.76,0.350,-1.10,-0.01,17.71,73.96
"Nathan
                                                                        VerMaas","Nathan
 VerMaas",99,QUI,Western,Great River,Jr,OF,9,35,0.61,No,27,3,0.09,2,0,2,0,0,2,8,22.86%,18,51.43%,26,74.29%,0,0,0.00%,0.074,0.222,0.286,0.148,0.434,8.60,7.15,0.074,0,0,0,4,2,0,1,6,0.17,1.74,0.230,-3.99,-0.11,1.94,12.57
"Otto
                                                                        Jones","Otto
 Jones",12,QUI,Western,Great River,Jr,C,27,109,1.91,No,89,18,0.17,23,17,6,0,0,14,17,15.60%,25,22.94%,42,38.53%,4,0,100.00%,0.258,0.354,0.385,0.326,0.711,77.26,64.28,0.068,2,1,0,29,6,1,17,22,0.77,13.74,0.330,-3.01,-0.03,15.46,63.51
"Riley
                                                                        Black","Riley
 Black",99,QUI,Western,Great River,So,C,29,119,2.09,No,108,19,0.16,36,24,7,1,4,26,8,6.72%,32,26.89%,44,36.97%,6,0,100.00%,0.333,0.444,0.390,0.528,0.918,128.04,106.52,0.195,2,0,1,57,12,0,21,18,1.17,24.45,0.400,4.03,0.03,24.19,99.80
"Tristan
                                                                        Meny","Tristan
 Meny",9,QUI,Western,Great River,So,IF,11,51,0.89,No,45,12,0.24,21,18,2,0,1,11,3,5.88%,2,3.92%,6,11.76%,3,0,100.00%,0.467,0.465,0.510,0.578,1.088,170.64,141.96,0.111,2,1,0,26,3,3,14,8,1.75,13.25,0.474,5.00,0.10,13.64,137.61
"Aidan
                                                                        McNamee","Aidan
 McNamee",71,SPR,Eastern,Wabash River,Fr,C,5,24,0.44,No,19,3,0.13,5,3,2,0,0,3,5,20.83%,7,29.17%,12,50.00%,0,0,0.00%,0.263,0.417,0.417,0.368,0.785,95.65,81.68,0.105,0,0,0,7,2,0,4,2,2.00,3.46,0.361,-0.01,0.00,4.06,82.67
"Anthony
                                                                        Stellato","Anthony
 Stellato",23,SPR,Eastern,Wabash River,Sr,IF,16,55,1.02,No,48,6,0.11,10,8,2,0,0,7,5,9.09%,16,29.09%,21,38.18%,2,0,100.00%,0.208,0.313,0.309,0.250,0.559,39.41,33.66,0.042,2,0,0,12,2,2,12,7,1.71,4.05,0.265,-4.63,-0.08,4.69,33.25
"Brady
                                                                        Small","Brady
 Small",99,SPR,Eastern,Wabash River,Fr,OF,13,51,0.94,No,38,5,0.10,5,5,0,0,0,4,9,17.65%,22,43.14%,31,60.78%,0,0,0.00%,0.132,0.313,0.353,0.132,0.485,21.62,18.46,0.000,4,0,0,5,0,1,5,5,1.00,2.79,0.265,-4.25,-0.08,4.39,33.74
"Brandon
                                                                        Hager","Brandon
 Hager",28,SPR,Eastern,Wabash River,Jr,IF,28,126,2.33,No,94,18,0.14,28,20,6,1,1,25,14,11.11%,32,25.40%,47,37.30%,0,0,0.00%,0.298,0.422,0.452,0.415,0.867,116.02,99.08,0.117,15,3,0,39,8,1,15,16,0.94,21.38,0.394,3.55,0.03,24.89,99.51
"Brayden
                                                                        Smith","Brayden
 Smith",70,SPR,Eastern,Wabash River,Fr,IF,45,209,3.87,Yes,162,38,0.18,53,30,14,3,6,44,41,19.62%,39,18.66%,86,41.15%,12,0,100.00%,0.327,0.395,0.469,0.562,1.031,156.35,133.52,0.235,4,2,0,91,23,0,29,38,0.76,51.57,0.446,15.31,0.07,50.72,126.13
"Cade
                                                                        Duffin","Cade
 Duffin",99,SPR,Eastern,Wabash River,Fr,IF,11,41,0.76,No,31,7,0.17,8,5,3,0,0,1,9,21.95%,8,19.51%,17,41.46%,0,0,0.00%,0.258,0.348,0.439,0.355,0.794,98.02,83.71,0.097,1,0,0,11,3,0,6,7,0.86,5.97,0.370,0.33,0.01,7.27,87.62
"Charles
                                                                        McCaleb","Charles
 McCaleb",19,SPR,Eastern,Wabash River,Fr,C,8,28,0.52,No,22,4,0.14,5,3,0,0,2,4,4,14.29%,6,21.43%,12,42.86%,0,0,0.00%,0.227,0.214,0.393,0.500,0.893,121.93,104.13,0.273,2,0,0,11,2,2,5,4,1.25,4.04,0.395,0.83,0.03,5.57,100.39
"Chris
                                                                        Kustigian","Chris
 Kustigian",35,SPR,Eastern,Wabash River,Jr,OF,9,32,0.59,No,27,2,0.06,9,7,2,0,0,4,5,15.63%,6,18.75%,11,34.38%,0,0,0.00%,0.333,0.429,0.438,0.407,0.845,110.52,94.38,0.074,0,0,0,11,2,0,7,5,1.40,5.38,0.382,0.57,0.02,5.99,93.47
"Connor
                                                                        Milton","Connor
 Milton",24,SPR,Eastern,Wabash River,Jr,OF,19,84,1.56,No,62,19,0.23,19,13,2,1,3,16,20,23.81%,23,27.38%,46,54.76%,6,0,100.00%,0.306,0.444,0.482,0.516,0.998,148.36,126.69,0.210,1,0,1,32,6,1,11,9,1.22,19.08,0.440,5.78,0.07,20.01,123.49
"Daedrick
                                                                        Cail","Daedrick
 Cail",99,SPR,Eastern,Wabash River,So,IF,22,100,1.85,No,80,10,0.10,15,11,4,0,0,17,14,14.00%,19,19.00%,33,33.00%,4,3,57.14%,0.188,0.238,0.330,0.237,0.567,41.54,35.47,0.049,4,2,0,19,4,4,24,22,1.09,6.97,0.274,-7.58,-0.08,9.36,38.16
"Dawson
                                                                        Johns","Dawson
 Johns",1,SPR,Eastern,Wabash River,Jr,OF,42,167,3.09,Yes,120,31,0.19,29,19,7,0,3,24,28,16.77%,39,23.35%,70,41.92%,5,2,71.43%,0.242,0.317,0.424,0.375,0.799,99.13,84.66,0.133,13,4,2,45,10,3,30,25,1.20,23.89,0.368,1.03,0.01,29.32,86.53
"Eli
                                                                        Marvin","Eli
 Marvin",99,SPR,Eastern,Wabash River,Fr,C,10,41,0.76,No,37,6,0.15,8,8,0,0,0,4,3,7.32%,16,39.02%,19,46.34%,2,1,66.67%,0.216,0.381,0.293,0.216,0.509,27.03,23.09,0.000,1,0,0,8,0,0,11,2,5.50,2.70,0.242,-4.26,-0.10,2.68,21.53
"Hunter
                                                                        Moser","Hunter
 Moser",11,SPR,Eastern,Wabash River,So,OF,31,146,2.70,Yes,119,31,0.21,29,19,7,2,1,15,22,15.07%,32,21.92%,55,37.67%,11,1,91.67%,0.244,0.322,0.377,0.361,0.738,83.82,71.58,0.117,4,1,0,43,10,2,35,20,1.75,19.95,0.337,-3.08,-0.02,21.65,70.43
"Jacob
                                                                        Hager","Jacob
 Hager",14,SPR,Eastern,Wabash River,Sr,IF,29,100,1.85,No,77,13,0.13,20,13,4,1,2,11,17,17.00%,25,25.00%,44,44.00%,0,0,0.00%,0.260,0.340,0.400,0.416,0.816,103.11,88.06,0.156,3,3,0,32,7,2,12,20,0.60,14.73,0.364,0.20,0.00,17.14,84.09
"Jaylen
                                                                        Morgan","Jaylen
 Morgan",99,SPR,Eastern,Wabash River,So,P,10,11,0.20,No,11,2,0.18,3,3,0,0,0,1,0,0.00%,2,18.18%,2,18.18%,1,0,100.00%,0.273,0.333,0.273,0.273,0.546,35.95,30.70,0.000,0,0,0,3,0,0,5,1,5.00,0.96,0.243,-1.13,-0.10,0.73,22.05
"Kaden
                                                                        Griffitts","Kaden
 Griffitts",21,SPR,Eastern,Wabash River,Fr,OF,8,24,0.44,No,20,4,0.17,7,4,1,0,2,8,2,8.33%,9,37.50%,13,54.17%,0,0,0.00%,0.350,0.500,0.417,0.700,1.117,177.02,151.17,0.350,1,1,0,14,3,0,2,3,0.67,6.38,0.464,2.14,0.09,6.20,135.49
"Kristian
                                                                        Sprawling","Kristian
 Sprawling",5,SPR,Eastern,Wabash River,Fr,OF,30,136,2.52,No,100,27,0.20,27,18,4,0,5,16,21,15.44%,30,22.06%,56,41.18%,11,2,84.62%,0.270,0.338,0.459,0.460,0.919,128.82,110.01,0.190,14,0,1,46,9,5,24,16,1.50,24.81,0.416,6.48,0.05,29.52,111.02
"Laine
                                                                        Axtetter","Laine
 Axtetter",38,SPR,Eastern,Wabash River,Fr,P,6,4,0.07,No,3,0,0.00,1,1,0,0,0,0,1,25.00%,1,25.00%,2,50.00%,0,0,0.00%,0.333,0.500,0.500,0.333,0.833,108.06,92.28,0.000,0,0,0,1,0,0,1,0,0.00,0.63,0.395,0.12,0.03,0.79,100.21
"Mark
                                                                        Kattula","Mark
 Kattula",18,SPR,Eastern,Wabash River,So,IF,9,40,0.74,No,34,10,0.25,16,11,4,0,1,8,5,12.50%,5,12.50%,11,27.50%,0,0,0.00%,0.471,0.517,0.525,0.676,1.201,198.45,169.47,0.205,0,1,0,23,5,1,5,8,0.63,12.41,0.511,5.19,0.13,11.97,159.48
"Nick
                                                                        Terrell","Nick
 Terrell",96,SPR,Eastern,Wabash River,Sr,IF,20,84,1.56,No,71,15,0.18,16,13,2,0,1,9,11,13.10%,10,11.90%,22,26.19%,8,1,88.89%,0.225,0.250,0.345,0.296,0.641,59.79,51.06,0.071,2,0,0,21,3,0,18,17,1.06,9.51,0.300,-4.44,-0.05,9.79,51.69
"Nolan
                                                                        Self","Nolan
 Self",99,SPR,Eastern,Wabash River,So,C,18,66,1.22,No,55,9,0.14,11,9,1,0,1,7,8,12.12%,26,39.39%,35,53.03%,0,1,0.00%,0.200,0.345,0.308,0.273,0.581,44.80,38.26,0.073,1,1,1,15,2,0,7,12,0.58,5.29,0.271,-5.18,-0.08,6.01,36.60
"Patrick
                                                                        Graham","Patrick
 Graham",99,SPR,Eastern,Wabash River,Fr,IF,31,112,2.07,No,84,19,0.17,10,7,2,1,0,10,18,16.07%,40,35.71%,58,51.79%,2,1,66.67%,0.119,0.222,0.318,0.167,0.485,21.35,18.23,0.048,7,1,2,14,3,4,17,18,0.94,6.19,0.253,-10.53,-0.09,8.45,27.42
"Payton
                                                                        Matthews","Payton
 Matthews",20,SPR,Eastern,Wabash River,So,OF,45,191,3.54,Yes,155,36,0.19,41,29,8,3,1,25,28,14.66%,59,30.89%,88,46.07%,21,1,95.45%,0.265,0.417,0.388,0.374,0.762,89.78,76.67,0.109,4,1,3,58,12,0,25,31,0.81,29.90,0.346,-2.47,-0.01,29.90,75.28
"Trent
                                                                        Koehler","Trent
 Koehler",10,SPR,Eastern,Wabash River,Fr,IF,41,122,2.26,Yes,93,16,0.13,16,15,1,0,0,13,21,17.21%,39,31.97%,60,49.18%,4,0,100.00%,0.172,0.291,0.345,0.183,0.528,32.10,27.41,0.011,4,1,3,17,1,3,19,19,1.00,8.62,0.269,-9.81,-0.08,10.86,35.45
"Ty
                                                                        Rhoades","Ty
 Rhoades",99,SPR,Eastern,Wabash River,Fr,IF,27,116,2.15,No,91,13,0.11,25,16,7,0,2,25,19,16.38%,25,21.55%,46,39.66%,4,1,80.00%,0.275,0.348,0.409,0.418,0.827,105.88,90.42,0.143,3,2,1,38,9,0,22,19,1.16,18.78,0.370,0.92,0.01,20.58,87.60
"William
                                                                        Zareh","William
 Zareh",39,SPR,Eastern,Wabash River,Fr,C,32,127,2.35,No,97,21,0.17,23,14,6,1,2,16,17,13.39%,45,35.43%,64,50.39%,0,0,0.00%,0.237,0.412,0.405,0.381,0.786,95.80,81.81,0.144,11,1,1,37,9,0,10,20,0.50,18.20,0.362,0.02,0.00,21.54,83.02
"Zane
                                                                        Danielson","Zane
 Danielson",25,SPR,Eastern,Wabash River,Fr,P,13,3,0.06,No,2,0,0.00,1,1,0,0,0,0,1,33.33%,1,33.33%,2,66.67%,1,0,100.00%,0.500,1.000,0.667,0.500,1.167,191.22,163.30,0.000,0,0,0,1,0,0,0,0,0.00,1.19,0.527,0.43,0.14,0.94,167.78
"Alex
                                                                        Marx","Alex
 Marx",28,TER,Eastern,Wabash River,So,C,9,32,0.57,No,28,3,0.09,5,3,1,1,0,3,4,12.50%,6,18.75%,10,31.25%,0,0,0.00%,0.179,0.227,0.281,0.286,0.567,41.16,40.87,0.107,0,0,0,8,2,0,9,8,1.13,2.54,0.260,-2.82,-0.09,2.60,47.32
"Brady
                                                                        Yeryar","Brady
 Yeryar",21,TER,Eastern,Wabash River,Fr,IF,2,7,0.13,No,7,0,0.00,2,2,0,0,0,1,0,0.00%,2,28.57%,2,28.57%,0,0,0.00%,0.286,0.400,0.286,0.286,0.572,42.42,42.13,0.000,0,0,0,2,0,0,2,1,2.00,0.57,0.254,-0.65,-0.09,0.53,44.39
"Brett
                                                                        Sherrard","Brett
 Sherrard",35,TER,Eastern,Wabash River,Fr,P,6,21,0.38,No,15,4,0.19,4,4,0,0,0,4,6,28.57%,5,23.81%,11,52.38%,0,0,0.00%,0.267,0.400,0.476,0.267,0.743,85.81,85.21,0.000,0,0,0,4,0,0,3,3,1.00,2.65,0.367,0.10,0.00,3.66,102.06
"Bryan
                                                                        Kohlmeyer","Bryan
 Kohlmeyer",3,TER,Eastern,Wabash River,Fr,C,6,21,0.38,No,15,4,0.19,4,2,2,0,0,2,2,9.52%,5,23.81%,7,33.33%,0,0,0.00%,0.267,0.400,0.450,0.400,0.850,111.83,111.06,0.133,3,0,1,6,2,0,4,2,2.00,3.35,0.393,0.58,0.03,4.14,115.58
"Bryce
                                                                        Miller","Bryce
 Miller",88,TER,Eastern,Wabash River,Jr,C,19,76,1.36,No,55,11,0.14,10,4,4,1,1,11,16,21.05%,23,30.26%,40,52.63%,1,0,100.00%,0.182,0.281,0.395,0.345,0.740,84.45,83.86,0.163,4,1,0,19,6,2,13,8,1.63,9.30,0.346,-1.02,-0.01,11.85,91.35
"Caleb
                                                                        Hohman","Caleb
 Hohman",75,TER,Eastern,Wabash River,Fr,OF,18,67,1.20,No,50,11,0.16,11,8,1,0,2,13,17,25.37%,18,26.87%,37,55.22%,0,2,0.00%,0.220,0.300,0.418,0.360,0.778,93.94,93.29,0.140,0,0,0,18,3,1,8,10,0.80,8.37,0.363,0.10,0.00,11.45,100.17
"Camden
                                                                        Karczewski","Camden
 Karczewski",77,TER,Eastern,Wabash River,So,C,7,29,0.52,No,25,8,0.28,12,9,2,1,0,6,3,10.34%,2,6.90%,5,17.24%,3,0,100.00%,0.480,0.522,0.536,0.640,1.176,192.41,191.07,0.160,0,0,1,16,3,2,9,3,3.00,8.45,0.509,3.71,0.13,8.63,174.89
"Carter
                                                                        Murphy","Carter
 Murphy",32,TER,Eastern,Wabash River,Fr,IF,30,124,2.21,No,114,16,0.13,41,30,9,1,1,23,7,5.65%,28,22.58%,36,29.03%,1,0,100.00%,0.360,0.471,0.411,0.482,0.893,122.07,121.22,0.122,3,0,0,55,11,2,23,18,1.28,22.97,0.394,3.51,0.03,24.52,116.03
"CJ
                                                                        O'Dell","CJ
 O'Dell",5,TER,Eastern,Wabash River,Fr,P,16,1,0.02,No,1,0,0.00,0,0,0,0,0,0,0,0.00%,1,100.00%,1,100.00%,0,0,0.00%,0.000,0.000,0.000,0.000,0.000,-100.00,-99.30,0.000,0,0,0,0,0,0,0,0,0.00,0.00,0.000,-0.31,-0.31,-0.14,-86.12
"Clay
                                                                        Hendry","Clay
 Hendry",9,TER,Eastern,Wabash River,So,P,9,5,0.09,No,4,1,0.20,2,1,1,0,0,1,1,20.00%,0,0.00%,1,20.00%,0,0,0.00%,0.500,0.500,0.600,0.750,1.350,235.55,233.92,0.250,0,0,0,3,1,0,1,1,1.00,1.96,0.570,0.91,0.18,1.75,206.42
"Derek
                                                                        Lebron","Derek
 Lebron",17,TER,Eastern,Wabash River,Fr,P,12,5,0.09,No,3,1,0.20,1,0,1,0,0,2,2,40.00%,1,20.00%,3,60.00%,0,0,0.00%,0.333,0.500,0.600,0.667,1.267,215.21,213.71,0.334,0,0,0,2,1,0,0,1,0.00,1.51,0.530,0.73,0.15,1.58,185.89
"Dominic
                                                                        Krupinski","Dominic
 Krupinski",88,TER,Eastern,Wabash River,Fr,IF,27,104,1.86,No,78,13,0.13,11,9,2,0,0,7,20,19.23%,24,23.08%,44,42.31%,1,1,50.00%,0.141,0.204,0.356,0.167,0.523,30.96,30.74,0.026,6,0,0,13,2,3,20,19,1.05,6.44,0.276,-7.74,-0.07,9.88,55.36
"Ethan
                                                                        Burdette","Ethan
 Burdette",84,TER,Eastern,Wabash River,So,IF,1,3,0.05,No,3,1,0.33,1,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%,1,0,100.00%,0.333,0.333,0.333,0.333,0.666,65.83,65.37,0.000,0,0,0,1,0,0,2,0,0.00,0.51,0.297,-0.17,-0.06,0.34,66.14
"Gabe
                                                                        Wright","Gabe
 Wright",22,TER,Eastern,Wabash River,So,OF,26,119,2.13,No,90,21,0.18,31,20,5,2,4,16,24,20.17%,16,13.45%,44,36.97%,4,3,57.14%,0.344,0.380,0.496,0.578,1.074,167.10,165.93,0.234,4,1,0,52,11,1,18,23,0.78,28.60,0.464,10.64,0.09,30.80,152.08
"Jayden
                                                                        Lepper","Jayden
 Lepper",89,TER,Eastern,Wabash River,So,IF,14,66,1.18,No,55,15,0.23,16,11,5,0,0,9,7,10.61%,12,18.18%,19,28.79%,3,0,100.00%,0.291,0.356,0.369,0.382,0.751,86.94,86.34,0.091,1,2,1,21,5,1,14,15,0.93,9.13,0.334,-1.58,-0.02,9.60,85.14
"Jayson
                                                                        Cottrell","Jayson
 Cottrell",4,TER,Eastern,Wabash River,Fr,P,2,4,0.07,No,3,0,0.00,1,1,0,0,0,1,1,25.00%,1,25.00%,2,50.00%,0,0,0.00%,0.333,0.500,0.500,0.333,0.833,108.06,107.31,0.000,0,0,0,1,0,0,0,1,0.00,0.63,0.395,0.12,0.03,0.79,116.61
"Jean
                                                                        Gonzalez","Jean
 Gonzalez",89,TER,Eastern,Wabash River,Jr,IF,11,31,0.55,No,26,3,0.10,6,6,0,0,0,4,4,12.90%,2,6.45%,6,19.35%,1,0,100.00%,0.231,0.250,0.355,0.231,0.586,46.39,46.07,0.000,1,0,0,6,0,1,10,7,1.43,2.52,0.285,-2.07,-0.07,3.18,59.90
